Position,Model,train_rmse,test_rmse,cross_val_rmse
QB,ElasticNet,8.064252101300942,8.467625013249643,8.290338901545189
QB,GradientBoosting,7.381418518847087,8.648634496695214,8.604936171477778
QB,CatBoost,2.823758984515764,8.711230991566785,9.145062480578295
QB,RandomForest,7.236601149650874,8.446561116522101,8.332026516045977
QB,KNN,7.798991531509351,8.697119772657116,8.572341484729625
RB,ElasticNet,6.755803741888839,6.9647585429932946,7.058872928489006
RB,GradientBoosting,6.590645988729484,7.036483686099621,7.2662037581913665
RB,CatBoost,5.206698340159132,7.190723524845196,7.278612061341022
RB,RandomForest,6.364418266611934,6.867496578351655,7.085857600438779
RB,KNN,6.660953521314361,7.378531493747209,7.34475598715696
TE,ElasticNet,5.622488886415784,5.526532473984296,5.717549700410224
TE,GradientBoosting,5.136824049225783,5.783891939333806,5.615154869529645
TE,CatBoost,1.9459710070144138,5.891029504364585,5.96832431215916
TE,RandomForest,4.908839457799966,5.654844860298454,5.582779504214599
TE,KNN,5.263911760221703,5.727482258065352,5.795651272310778
WR,ElasticNet,6.971149643983997,7.054266011787478,7.070994969650446
WR,GradientBoosting,6.8276182910466146,7.08636092621952,7.183391569372572
WR,CatBoost,5.791277338810997,7.158964882758203,7.361005727142889
WR,RandomForest,6.66969036229709,6.951109081052293,7.090216706811455
WR,KNN,6.772098840613206,7.256090177211765,7.520533257689635
