Model,QB,RB,TE,WR
Ridge_train_rmse,3.7312946134406753,4.186848703646351,6.014093939261762,6.357617880245324
Ridge_test_rmse,5.970171459841785,5.267352927532447,6.521098626149616,6.914335800036934
Ridge_cv_rmse,5.647123066606227,4.8020898788397135,6.371962812330693,6.853166344719569
ElasticNet_train_rmse,4.263911677458424,4.367912099966933,6.061617624456603,6.244467194488138
ElasticNet_test_rmse,5.1616280858773775,5.154026224506105,5.5986870397585085,6.796824256005957
ElasticNet_cv_rmse,5.227671962028021,4.706152924287246,6.180358490865173,6.543767598094165
BayesianRidge_train_rmse,3.96897921471796,4.142399590018718,5.775402404574567,6.139376085092165
BayesianRidge_test_rmse,5.574158138369304,5.276180696074622,6.721250422530622,6.977507546179443
BayesianRidge_cv_rmse,5.781432485693451,4.852595858579981,6.35423035860094,6.715788561449234
RandomForestRegressor_train_rmse,3.371439444802491,1.781130000267605,5.1260032635362025,4.951881929782199
RandomForestRegressor_test_rmse,4.953916022429457,4.598856985653653,5.188531938791449,6.093311091585215
RandomForestRegressor_cv_rmse,5.5788394723796975,4.4548517369707,5.721181612202908,6.079622723680921
GradientBoostingRegressor_train_rmse,2.6726739864176876,2.937101813353948,3.9529060451843003,4.685098033608919
GradientBoostingRegressor_test_rmse,4.956969244248492,4.6904644076843285,5.32417116187888,6.036931834814451
GradientBoostingRegressor_cv_rmse,5.390913194351617,4.422104633932639,5.938415127241553,6.030477325622333
XGBoost_train_rmse,1.6043659770778982,2.168324270485788,0.9456072949836442,3.758155091087854
XGBoost_test_rmse,5.06458723942655,4.8618198958211085,5.845651352703404,6.262576297508832
XGBoost_cv_rmse,5.34977182077734,4.578478660837324,6.442402351370457,6.304519200293215
LightGBM_train_rmse,3.3419902036266462,3.3082374729993105,3.7912874662871756,4.291623314987256
LightGBM_test_rmse,4.97336520314659,4.685240571081348,5.336332588069346,5.92971220178183
LightGBM_cv_rmse,5.441550533843321,4.509766563778643,5.6210910304239325,5.91596477878055
CatBoost_train_rmse,2.400732184627172,2.5521043142675786,0.8676381462913536,3.2620771486649844
CatBoost_test_rmse,4.824779816195164,4.8886329900700405,5.498102098087775,6.055713590157774
CatBoost_cv_rmse,5.112881312892552,4.476523967532452,6.066218930316633,6.078838251182853
AdaBoost_train_rmse,3.7503645660912657,4.3393561799380755,5.843775124672155,7.867552934663499
AdaBoost_test_rmse,5.193116942278693,5.22129229147744,6.297757993735398,8.295635860238088
AdaBoost_cv_rmse,5.620026396950035,5.161926268331873,6.247625815754565,7.422301811083135
