Model,PK,QB,RB,TE,WR
Ridge_train_rmse,4.354812921847906,6.634736376734224,7.1448392338716555,5.241798483489531,7.516765315112843
Ridge_test_rmse,4.094725197248132,6.964164182682487,7.388837983939493,5.608342071676964,7.168806603789174
Ridge_cv_rmse,6.803642888042845,6.803642888042845,6.803642888042845,6.803642888042845,6.803642888042845
ElasticNet_train_rmse,4.264562814618434,7.3286362260326445,7.238142266943533,5.253569363915698,7.404808385436012
ElasticNet_test_rmse,4.098129802373807,7.127218098052089,7.4718509279270355,5.592300824701761,7.163671875061777
ElasticNet_cv_rmse,6.813106034988688,6.813106034988688,6.813106034988688,6.813106034988688,6.813106034988688
RandomForestRegressor_train_rmse,4.059215749328393,6.470860341869772,6.844521699229286,4.910327252022808,6.854956597855751
RandomForestRegressor_test_rmse,4.099567905800239,7.104745192347835,7.37885475005871,5.635414439488657,7.211005634514216
RandomForestRegressor_cv_rmse,6.755454799712019,6.749011527938083,6.752201639404249,6.7545894046467545,6.74856493449936
GradientBoostingRegressor_train_rmse,2.461049573234103,2.329335153650093,3.3993347580135342,2.7278581599791627,4.100726421355897
GradientBoostingRegressor_test_rmse,4.646926861738687,8.00848269242103,7.66252396616124,5.937479520110899,8.436255836745723
GradientBoostingRegressor_cv_rmse,6.9182978937762485,6.91794202031969,6.907627925204327,6.911874530399956,6.934351650957316
